Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
,,,,Oven - (Freestanding) Total,,69,,,,,,,,
,,,,Washing Machine,Front Loader,19,,,,,,,,
,,,,Washing Machine Total,,19,,,,,,,,
,,,,Dryer,Commercial,11,,,,,,,,
,,,,Dryer Total,,11,,,,,,,,
,,,,Commercial Appliance,Dishwasher - (Underbench),7,,,,,,,,
,,,,Commercial Appliance Total,,7,,,,,,,,
,,,,Other,(blank),5,,,,,,,,
,,,,Other Total,,5,,,,,,,,
,,,Electrolux Professional - (Commercial) Total,,,336,,,,,,,,
,,,Polar - (Commercial),Refrigerator,(blank),93,,,,,,,,
,,,,,Freezer Only,72,,,,,,,,
,,,,,Wine Fridge,69,,,,,,,,
,,,,,Fridge Only,49,,,,,,,,
,,,,,Other,12,,,,,,,,
,,,,,Bar Fridge,12,,,,,,,,
,,,,,Fridge & Freezer,10,,,,,,,,
,,,,Refrigerator Total,,317,,,,,,,,
,,,,Ice Maker,(blank),19,,,,,,,,
,,,,Ice Maker Total,,19,,,,,,,,
,,,Polar - (Commercial) Total,,,336,,,,,,,,
,,,Kelvinator - (Domestic),Refrigerator,Fridge & Freezer,231,,,,,,,,
,,,,,Freezer Only,37,,,,,,,,
,,,,,(blank),34,,,,,,,,
,,,,,Fridge Only,17,,,,,,,,
,,,,Refrigerator Total,,319,,,,,,,,
,,,,Washing Machine,Top Loader,10,,,,,,,,
,,,,,Front Loader,3,,,,,,,,
,,,,Washing Machine Total,,13,,,,,,,,
,,,Kelvinator - (Domestic) Total,,,332,,,,,,,,
,,,Esatto - (Domestic) - (Limited Parts),Dryer,Heat Pump,34,,,,,,,,
,,,,,(blank),30,,,,,,,,
,,,,,Condenser,27,,,,,,,,
,,,,,Vented,18,,,,,,,,
,,,,,Stacked,12,,,,,,,,
,,,,Dryer Total,,121,,,,,,,,
,,,,Washing Machine,Front Loader,42,,,,,,,,
,,,,,Top Loader,31,,,,,,,,
,,,,,(blank),7,,,,,,,,
,,,,Washing Machine Total,,80,,,,,,,,
,,,,Dishwasher,Free Standing,37,,,,,,,,
,,,,,(blank),15,,,,,,,,
,,,,,Under Bench,14,,,,,,,,
,,,,,Bench Top,4,,,,,,,,
,,,,,Fully Integrated,3,,,,,,,,
,,,,Dishwasher Total,,73,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,25,,,,,,,,
,,,,,(blank),14,,,,,,,,
,,,,,Bar Fridge,5,,,,,,,,
,,,,Refrigerator Total,,44,,,,,,,,
,,,Esatto - (Domestic) - (Limited Parts) Total,,,318,,,,,,,,
,,,La Germania - (Premium Domestic),Oven - (Freestanding),Gas,78,,,,,,,,
,,,,,Free Standing,77,,,,,,,,
,,,,,(blank),60,,,,,,,,
,,,,,Natural Gas,34,,,,,,,,
,,,,,Dual Fuel,16,,,,,,,,
,,,,,LPG Gas,16,,,,,,,,
,,,,Oven - (Freestanding) Total,,281,,,,,,,,
,,,,Oven - (Built In),Electric,16,,,,,,,,
,,,,Oven - (Built In) Total,,16,,,,,,,,
,,,,Rangehood,Canopy,9,,,,,,,,
,,,,Rangehood Total,,9,,,,,,,,
,,,,Dishwasher,Free Standing,9,,,,,,,,
,,,,Dishwasher Total,,9,,,,,,,,
,,,La Germania - (Premium Domestic) Total,,,315,,,,,,,,
,,,Artusi - (Domestic),Oven - (Freestanding),(blank),43,,,,,,,,
,,,,,Gas,43,,,,,,,,
,,,,,Stove,32,,,,,,,,
,,,,,Free Standing,12,,,,,,,,
,,,,,Electric,7,,,,,,,,
,,,,Oven - (Freestanding) Total,,137,,,,,,,,
,,,,Dishwasher,(blank),41,,,,,,,,
,,,,,Free Standing,32,,,,,,,,
,,,,,Fully Integrated,19,,,,,,,,
,,,,,Under Bench,10,,,,,,,,
,,,,Dishwasher Total,,102,,,,,,,,
,,,,Oven - (Built In),(blank),24,,,,,,,,
,,,,Oven - (Built In) Total,,24,,,,,,,,
,,,,Cooktop,Natural Gas,10,,,,,,,,
,,,,,Gas,9,,,,,,,,
,,,,,Induction,5,,,,,,,,
,,,,Cooktop Total,,24,,,,,,,,
,,,,Dryer,Wall Mounted,13,,,,,,,,
,,,,Dryer Total,,13,,,,,,,,
,,,,Washing Machine,Front Loader,8,,,,,,,,
,,,,Washing Machine Total,,8,,,,,,,,
,,,Artusi - (Domestic) Total,,,308,,,,,,,,
,,,Breville - (Domestic),Coffee Machine,(blank),183,,,,,,,,
,,,,,Domestic,95,,,,,,,,
,,,,,Commercial,4,,,,,,,,
,,,,,Nespresso,3,,,,,,,,
,,,,,Other,1,,,,,,,,
,,,,Coffee Machine Total,,286,,,,,,,,
,,,,Microwave,Bench Top,6,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,Microwave Total,,9,,,,,,,,
,,,Breville - (Domestic) Total,,,295,,,,,,,,
,,,Bellissimo - (Domestic),Oven - (Freestanding),Electric,69,,,,,,,,
,,,,,Dual Fuel,32,,,,,,,,
,,,,,Free Standing,11,,,,,,,,
,,,,,LPG Gas,6,,,,,,,,
,,,,,Built In,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,121,,,,,,,,
,,,,Dishwasher,Under Bench,53,,,,,,,,
,,,,,Free Standing,44,,,,,,,,
,,,,,(blank),7,,,,,,,,
,,,,Dishwasher Total,,104,,,,,,,,
,,,,Oven - (Built In),Electric,27,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,Oven - (Built In) Total,,32,,,,,,,,
,,,,Rangehood,(blank),10,,,,,,,,
,,,,Rangehood Total,,10,,,,,,,,
,,,,Cooktop,Natural Gas,7,,,,,,,,
,,,,Cooktop Total,,7,,,,,,,,
,,,Bellissimo - (Domestic) Total,,,274,,,,,,,,
,,,Kogan - (Domestic) - (Limited Parts),Washing Machine,Front Loader,109,,,,,,,,
,,,,,Top Loader,16,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,Washing Machine Total,,130,,,,,,,,
,,,,Dryer,Vented,31,,,,,,,,
,,,,,(blank),29,,,,,,,,
,,,,,Heat Pump,11,,,,,,,,
,,,,,Unknown,3,,,,,,,,
,,,,Dryer Total,,74,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,21,,,,,,,,
,,,,,(blank),8,,,,,,,,
,,,,Refrigerator Total,,29,,,,,,,,
,,,,Dishwasher,Under Bench,23,,,,,,,,
,,,,,Free Standing,4,,,,,,,,
,,,,Dishwasher Total,,27,,,,,,,,
,,,,Combo Washer & Dryer,(blank),6,,,,,,,,
,,,,Combo Washer & Dryer Total,,6,,,,,,,,
,,,Kogan - (Domestic) - (Limited Parts) Total,,,266,,,,,,,,
,,,Lofra - (Domestic),Oven - (Freestanding),Free Standing,104,,,,,,,,
,,,,,Dual Fuel,60,,,,,,,,
,,,,,(blank),24,,,,,,,,
,,,,,Electric,14,,,,,,,,
,,,,,Natural Gas,10,,,,,,,,
,,,,,Built In,7,,,,,,,,
,,,,,Gas,5,,,,,,,,
,,,,,Stove,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,227,,,,,,,,
,,,,Oven - (Built In),Electric,17,,,,,,,,
,,,,,(blank),8,,,,,,,,
,,,,Oven - (Built In) Total,,25,,,,,,,,
,,,,Cooktop,Natural Gas,8,,,,,,,,
,,,,,LPG Gas,5,,,,,,,,
,,,,Cooktop Total,,13,,,,,,,,
,,,Lofra - (Domestic) Total,,,265,,,,,,,,
,,,Bellini - (Domestic),Dishwasher,Under Bench,74,,,,,,,,
,,,,,(blank),55,,,,,,,,
,,,,,Free Standing,48,,,,,,,,
,,,,Dishwasher Total,,177,,,,,,,,
,,,,Oven - (Freestanding),Electric,64,,,,,,,,
,,,,,Free Standing,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,69,,,,,,,,
,,,,Cooktop,Electric,5,,,,,,,,
,,,,,Natural Gas,3,,,,,,,,
,,,,Cooktop Total,,8,,,,,,,,
,,,,Oven - (Built In),Electric,8,,,,,,,,
,,,,Oven - (Built In) Total,,8,,,,,,,,
,,,Bellini - (Domestic) Total,,,262,,,,,,,,
,,,Highland - (Premium Domestic) - (Limited Parts),Cooktop,Natural Gas,116,,,,,,,,
,,,,,Gas,74,,,,,,,,
,,,,,LPG Gas,10,,,,,,,,
,,,,Cooktop Total,,200,,,,,,,,
,,,,Oven - (Freestanding),Double,44,,,,,,,,
,,,,,Electric,12,,,,,,,,
,,,,Oven - (Freestanding) Total,,56,,,,,,,,
,,,Highland - (Premium Domestic) - (Limited Parts) Total,,,256,,,,,,,,
,,,Neff - (Premium Domestic),Dishwasher,Fully Integrated,77,,,,,,,,
,,,,,Under Bench,7,,,,,,,,
,,,,,Free Standing,5,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,Dishwasher Total,,92,,,,,,,,
,,,,Oven - (Freestanding),Electric,49,,,,,,,,
,,,,,(blank),21,,,,,,,,
,,,,,Built In,16,,,,,,,,
,,,,Oven - (Freestanding) Total,,86,,,,,,,,
,,,,Cooktop,Gas,33,,,,,,,,
,,,,,Electric,26,,,,,,,,
,,,,,Natural Gas,6,,,,,,,,
,,,,,LPG Gas,3,,,,,,,,
,,,,Cooktop Total,,68,,,,,,,,
,,,,Oven - (Built In),(blank),9,,,,,,,,
,,,,Oven - (Built In) Total,,9,,,,,,,,
,,,,Rangehood,Canopy,1,,,,,,,,
,,,,Rangehood Total,,1,,,,,,,,
,,,Neff - (Premium Domestic) Total,,,256,,,,,,,,
,,,IAG - (Domestic),Oven - (Freestanding),(blank),55,,,,,,,,
,,,,,Electric,40,,,,,,,,
,,,,Oven - (Freestanding) Total,,95,,,,,,,,
,,,,Dishwasher,Fully Integrated,33,,,,,,,,
,,,,,Under Bench,10,,,,,,,,
,,,,,Free Standing,8,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,Dishwasher Total,,56,,,,,,,,
,,,,Oven - (Built In),Electric,54,,,,,,,,
,,,,Oven - (Built In) Total,,54,,,,,,,,
,,,,Cooktop,Electric,26,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,Cooktop Total,,31,,,,,,,,
,,,,Rangehood,(blank),11,,,,,,,,
,,,,Rangehood Total,,11,,,,,,,,
,,,IAG - (Domestic) Total,,,247,,,,,,,,
,,,KitchenAid - (Premium Domestic),Mixer,Electric,80,,,,,,,,
,,,,,(blank),25,,,,,,,,
,,,,Mixer Total,,105,,,,,,,,
,,,,Small Appliance,Other,48,,,,,,,,
,,,,,Food Processor,13,,,,,,,,
,,,,,(blank),6,,,,,,,,
,,,,Small Appliance Total,,67,,,,,,,,
,,,,Coffee Machine,Nespresso,27,,,,,,,,
,,,,Coffee Machine Total,,27,,,,,,,,
,,,,Other,(blank),25,,,,,,,,
,,,,Other Total,,25,,,,,,,,
,,,,Dishwasher,Free Standing,8,,,,,,,,
,,,,,Fully Integrated,3,,,,,,,,
,,,,Dishwasher Total,,11,,,,,,,,
,,,,Oven - (Freestanding),Electric,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,5,,,,,,,,
,,,KitchenAid - (Premium Domestic) Total,,,240,,,,,,,,
,,,Amana - (Premium Domestic) - (Limited Parts),Refrigerator,Fridge & Freezer,203,,,,,,,,
,,,,,Side By Side,16,,,,,,,,
,,,,,(blank),10,,,,,,,,
,,,,,Other,3,,,,,,,,
,,,,,Bar Fridge,1,,,,,,,,
,,,,Refrigerator Total,,233,,,,,,,,
,,,Amana - (Premium Domestic) - (Limited Parts) Total,,,233,,,,,,,,
,,,Moffat - (Commercial),Dishwasher,(blank),106,,,,,,,,
,,,,,Under Bench,20,,,,,,,,
,,,,,Free Standing,3,,,,,,,,
,,,,Dishwasher Total,,129,,,,,,,,
,,,,Oven - (Freestanding),Gas,37,,,,,,,,
,,,,,Electric,26,,,,,,,,
,,,,,(blank),10,,,,,,,,
,,,,Oven - (Freestanding) Total,,73,,,,,,,,
,,,,Commercial Appliance,Deep Fryer,18,,,,,,,,
,,,,Commercial Appliance Total,,18,,,,,,,,
,,,,Cooker,(blank),3,,,,,,,,
,,,,Cooker Total,,3,,,,,,,,
,,,,Cooktop,Natural Gas,3,,,,,,,,
,,,,Cooktop Total,,3,,,,,,,,
,,,Moffat - (Commercial) Total,,,226,,,,,,,,
,,,Glem - (Domestic),Oven - (Freestanding),(blank),93,,,,,,,,
,,,,,Electric,37,,,,,,,,
,,,,,Free Standing,19,,,,,,,,
,,,,,Natural Gas,3,,,,,,,,
,,,,,LPG Gas,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,155,,,,,,,,
,,,,Dishwasher,Free Standing,14,,,,,,,,
,,,,,(blank),13,,,,,,,,
,,,,,Under Bench,5,,,,,,,,
,,,,Dishwasher Total,,32,,,,,,,,
,,,,Oven - (Built In),Electric,21,,,,,,,,
,,,,Oven - (Built In) Total,,21,,,,,,,,
,,,,Rangehood,Canopy,10,,,,,,,,
,,,,Rangehood Total,,10,,,,,,,,
,,,,Cooktop,LPG Gas,8,,,,,,,,
,,,,Cooktop Total,,8,,,,,,,,
,,,Glem - (Domestic) Total,,,226,,,,,,,,
,,,Mitsubishi - (Domestic) - (Limited Parts),Refrigerator,Fridge & Freezer,164,,,,,,,,
,,,,,(blank),54,,,,,,,,
,,,,Refrigerator Total,,218,,,,,,,,
,,,Mitsubishi - (Domestic) - (Limited Parts) Total,,,218,,,,,,,,
,,,Emilia - (Domestic),Oven - (Freestanding),Electric,35,,,,,,,,
,,,,,Free Standing,32,,,,,,,,
,,,,,Natural Gas,30,,,,,,,,
,,,,,(blank),24,,,,,,,,
,,,,,Gas,10,,,,,,,,
,,,,Oven - (Freestanding) Total,,131,,,,,,,,
,,,,Cooktop,Gas,24,,,,,,,,
,,,,,Other,14,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,,Natural Gas,5,,,,,,,,
,,,,Cooktop Total,,48,,,,,,,,
,,,,Dishwasher,(blank),15,,,,,,,,
,,,,,Under Bench,5,,,,,,,,
,,,,Dishwasher Total,,20,,,,,,,,
,,,,Oven - (Built In),Gas,16,,,,,,,,
,,,,Oven - (Built In) Total,,16,,,,,,,,
,,,Emilia - (Domestic) Total,,,215,,,,,,,,
,,,Jura - (Premium Domestic),Coffee Machine,(blank),154,,,,,,,,
,,,,,Domestic,43,,,,,,,,
,,,,,Fully Automatic,17,,,,,,,,
,,,,Coffee Machine Total,,214,,,,,,,,
,,,Jura - (Premium Domestic) Total,,,214,,,,,,,,
,,,ChiQ - (Domestic) - (Limited Parts),Refrigerator,Fridge & Freezer,96,,,,,,,,
,,,,,(blank),10,,,,,,,,
,,,,,Freezer Only,8,,,,,,,,
,,,,,Fridge Only,6,,,,,,,,
,,,,,Bar Fridge,5,,,,,,,,
,,,,Refrigerator Total,,125,,,,,,,,
,,,,Washing Machine,Top Loader,34,,,,,,,,
,,,,,Front Loader,11,,,,,,,,
,,,,Washing Machine Total,,45,,,,,,,,
,,,,Combo Washer & Dryer,(blank),40,,,,,,,,
,,,,Combo Washer & Dryer Total,,40,,,,,,,,
,,,ChiQ - (Domestic) - (Limited Parts) Total,,,210,,,,,,,,
,,,Schmick - (Domestic),Refrigerator,Bar Fridge,159,,,,,,,,
,,,,,(blank),18,,,,,,,,
,,,,,Fridge & Freezer,5,,,,,,,,
,,,,Refrigerator Total,,182,,,,,,,,
,,,,Dishwasher,Fully Integrated,13,,,,,,,,
,,,,Dishwasher Total,,13,,,,,,,,
,,,Schmick - (Domestic) Total,,,195,,,,,,,,
,,,Comenda - (Commercial),Dishwasher,(blank),136,,,,,,,,
,,,,,Under Bench,30,,,,,,,,
,,,,Dishwasher Total,,166,,,,,,,,
,,,,Other,(blank),8,,,,,,,,
,,,,Other Total,,8,,,,,,,,
,,,Comenda - (Commercial) Total,,,174,,,,,,,,
,,,Goldline - (Premium Domestic),Cooktop,(blank),95,,,,,,,,
,,,,,Gas,41,,,,,,,,
,,,,,Natural Gas,20,,,,,,,,
,,,,,LPG Gas,14,,,,,,,,
,,,,,Other,3,,,,,,,,
,,,,Cooktop Total,,173,,,,,,,,
,,,Goldline - (Premium Domestic) Total,,,173,,,,,,,,
,,,Damani - (Domestic),Oven - (Freestanding),Electric,31,,,,,,,,
,,,,,(blank),19,,,,,,,,
,,,,,Dual Fuel,14,,,,,,,,
,,,,,Natural Gas,12,,,,,,,,
,,,,,Free Standing,11,,,,,,,,
,,,,,Built In,11,,,,,,,,
,,,,,Double,6,,,,,,,,
,,,,Oven - (Freestanding) Total,,104,,,,,,,,
,,,,Dishwasher,Free Standing,25,,,,,,,,
,,,,Dishwasher Total,,25,,,,,,,,
,,,,Oven - (Built In),Electric,24,,,,,,,,
,,,,Oven - (Built In) Total,,24,,,,,,,,
,,,,Cooktop,Gas,11,,,,,,,,
,,,,Cooktop Total,,11,,,,,,,,
,,,,Rangehood,Canopy,7,,,,,,,,
,,,,Rangehood Total,,7,,,,,,,,
,,,Damani - (Domestic) Total,,,171,,,,,,,,
,,,Midea - (Domestic) - (Limited Parts),Dishwasher,Free Standing,40,,,,,,,,
,,,,,(blank),17,,,,,,,,
,,,,,Fully Integrated,13,,,,,,,,
,,,,Dishwasher Total,,70,,,,,,,,
,,,,Cooktop,Natural Gas,20,,,,,,,,
,,,,,Ceramic,15,,,,,,,,
,,,,Cooktop Total,,35,,,,,,,,
,,,,Refrigerator,(blank),12,,,,,,,,
,,,,,Freezer Only,7,,,,,,,,
,,,,,Fridge & Freezer,5,,,,,,,,
,,,,Refrigerator Total,,24,,,,,,,,
,,,,Oven - (Freestanding),Built In,13,,,,,,,,
,,,,Oven - (Freestanding) Total,,13,,,,,,,,
,,,,Rangehood,(blank),12,,,,,,,,
,,,,Rangehood Total,,12,,,,,,,,
,,,,Washing Machine,Top Loader,4,,,,,,,,
,,,,Washing Machine Total,,4,,,,,,,,
,,,Midea - (Domestic) - (Limited Parts) Total,,,158,,,,,,,,
,,,Solt - (Domestic) - (Limited Parts),Washing Machine,Top Loader,34,,,,,,,,
,,,,,Front Loader,33,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,Washing Machine Total,,72,,,,,,,,
,,,,Dishwasher,Free Standing,42,,,,,,,,
,,,,,Under Bench,23,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,Dishwasher Total,,70,,,,,,,,
,,,,Dryer,(blank),7,,,,,,,,
,,,,,Heat Pump,6,,,,,,,,
,,,,Dryer Total,,13,,,,,,,,
,,,Solt - (Domestic) - (Limited Parts) Total,,,155,,,,,,,,
,,,Belling - (Domestic),Oven - (Freestanding),Free Standing,34,,,,,,,,
,,,,,Electric,23,,,,,,,,
,,,,,(blank),18,,,,,,,,
,,,,Oven - (Freestanding) Total,,75,,,,,,,,
,,,,Cooktop,Induction,25,,,,,,,,
,,,,,Gas,8,,,,,,,,
,,,,Cooktop Total,,33,,,,,,,,
,,,,Oven - (Built In),Electric,21,,,,,,,,
,,,,Oven - (Built In) Total,,21,,,,,,,,
,,,,Dishwasher,Under Bench,12,,,,,,,,
,,,,Dishwasher Total,,12,,,,,,,,
,,,,Rangehood,Canopy,8,,,,,,,,
,,,,Rangehood Total,,8,,,,,,,,
,,,Belling - (Domestic) Total,,,149,,,,,,,,
,,,Husky - (Domestic / Premium Domestic / Commercial),Refrigerator,(blank),61,,,,,,,,
,,,,,Wine Fridge,45,,,,,,,,
,,,,,Fridge & Freezer,25,,,,,,,,
,,,,,Bar Fridge,17,,,,,,,,
,,,,Refrigerator Total,,148,,,,,,,,
,,,Husky - (Domestic / Premium Domestic / Commercial) Total,,,148,,,,,,,,
,,,Fagor - (Commercial),Dishwasher,(blank),80,,,,,,,,
,,,,,Under Bench,28,,,,,,,,
,,,,,Free Standing,15,,,,,,,,
,,,,Dishwasher Total,,123,,,,,,,,
,,,,Other,(blank),17,,,,,,,,
,,,,Other Total,,17,,,,,,,,
,,,,Oven - (Freestanding),Other,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,5,,,,,,,,
,,,Fagor - (Commercial) Total,,,145,,,,,,,,
,,,Unox - (Commercial),Oven - (Freestanding),(blank),46,,,,,,,,
,,,,,Electric,29,,,,,,,,
,,,,,Gas,24,,,,,,,,
,,,,,Natural Gas,23,,,,,,,,
,,,,,Other,8,,,,,,,,
,,,,,Combination Microwave & Oven,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,135,,,,,,,,
,,,,Commercial Appliance,Combi-Oven,9,,,,,,,,
,,,,Commercial Appliance Total,,9,,,,,,,,
,,,Unox - (Commercial) Total,,,144,,,,,,,,
,,,Williams - (Commercial),Refrigerator,(blank),94,,,,,,,,
,,,,,Freezer Only,26,,,,,,,,
,,,,,Fridge Only,15,,,,,,,,
,,,,,Fridge & Freezer,6,,,,,,,,
,,,,Refrigerator Total,,141,,,,,,,,
,,,Williams - (Commercial) Total,,,141,,,,,,,,
,,,Dyson - (Domestic),Vacuum Cleaner,(blank),75,,,,,,,,
,,,,,Domestic,33,,,,,,,,
,,,,,Other,20,,,,,,,,
,,,,Vacuum Cleaner Total,,128,,,,,,,,
,,,Dyson - (Domestic) Total,,,128,,,,,,,,
,,,Fagor - (Premium Domestic),Oven - (Built In),Electric,32,,,,,,,,
,,,,,Pyrolytic,24,,,,,,,,
,,,,Oven - (Built In) Total,,56,,,,,,,,
,,,,Dishwasher,Under Bench,26,,,,,,,,
,,,,,(blank),9,,,,,,,,
,,,,,Free Standing,3,,,,,,,,
,,,,Dishwasher Total,,38,,,,,,,,
,,,,Cooktop,Induction,24,,,,,,,,
,,,,Cooktop Total,,24,,,,,,,,
,,,,Oven - (Freestanding),Electric,8,,,,,,,,
,,,,Oven - (Freestanding) Total,,8,,,,,,,,
,,,Fagor - (Premium Domestic) Total,,,126,,,,,,,,
,,,Gorenje - (Domestic) - (Limited Parts),Refrigerator,Fridge & Freezer,81,,,,,,,,
,,,,,(blank),13,,,,,,,,
,,,,Refrigerator Total,,94,,,,,,,,
,,,,Washing Machine,Top Loader,11,,,,,,,,
,,,,Washing Machine Total,,11,,,,,,,,
,,,,Oven - (Freestanding),Electric,11,,,,,,,,
,,,,Oven - (Freestanding) Total,,11,,,,,,,,
,,,,Dishwasher,Fully Integrated,8,,,,,,,,
,,,,Dishwasher Total,,8,,,,,,,,
,,,Gorenje - (Domestic) - (Limited Parts) Total,,,124,,,,,,,,
,,,Domain - (Domestic),Dishwasher,Under Bench,40,,,,,,,,
,,,,,(blank),26,,,,,,,,
,,,,,Free Standing,14,,,,,,,,
,,,,,Fully Integrated,7,,,,,,,,
,,,,Dishwasher Total,,87,,,,,,,,
,,,,Cooktop,Gas,13,,,,,,,,
,,,,,Natural Gas,5,,,,,,,,
,,,,Cooktop Total,,18,,,,,,,,
,,,,Oven - (Freestanding),Built In,10,,,,,,,,
,,,,Oven - (Freestanding) Total,,10,,,,,,,,
,,,,Rangehood,Slide out,7,,,,,,,,
,,,,Rangehood Total,,7,,,,,,,,
,,,Domain - (Domestic) Total,,,122,,,,,,,,
,,,Stirling - (Domestic) - (Limited Parts),Dishwasher,Under Bench,47,,,,,,,,
,,,,,(blank),20,,,,,,,,
,,,,,Free Standing,10,,,,,,,,
,,,,Dishwasher Total,,77,,,,,,,,
,,,,Dryer,Heat Pump,20,,,,,,,,
,,,,Dryer Total,,20,,,,,,,,
,,,,Washing Machine,Top Loader,12,,,,,,,,
,,,,,Front Loader,3,,,,,,,,
,,,,Washing Machine Total,,15,,,,,,,,
,,,,Cooktop,Induction,7,,,,,,,,
,,,,Cooktop Total,,7,,,,,,,,
,,,,Oven - (Freestanding),Electric,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,3,,,,,,,,
,,,Stirling - (Domestic) - (Limited Parts) Total,,,122,,,,,,,,
,,,Lemair - (Domestic),Refrigerator,Wine Fridge,60,,,,,,,,
,,,,,Fridge & Freezer,33,,,,,,,,
,,,,,(blank),20,,,,,,,,
,,,,Refrigerator Total,,113,,,,,,,,
,,,,Washing Machine,Front Loader,6,,,,,,,,
,,,,Washing Machine Total,,6,,,,,,,,
,,,Lemair - (Domestic) Total,,,119,,,,,,,,
,,,Roband - (Commercial),Bain Marie,(blank),57,,,,,,,,
,,,,Bain Marie Total,,57,,,,,,,,
,,,,Other,(blank),48,,,,,,,,
,,,,Other Total,,48,,,,,,,,
,,,,Commercial Appliance,(blank),10,,,,,,,,
,,,,Commercial Appliance Total,,10,,,,,,,,
,,,,Dryer,(blank),3,,,,,,,,
,,,,Dryer Total,,3,,,,,,,,
,,,Roband - (Commercial) Total,,,118,,,,,,,,
,,,ARC - (Domestic),Dishwasher,Under Bench,39,,,,,,,,
,,,,,Free Standing,5,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,,Fully Integrated,3,,,,,,,,
,,,,Dishwasher Total,,50,,,,,,,,
,,,,Oven - (Built In),Electric,28,,,,,,,,
,,,,Oven - (Built In) Total,,28,,,,,,,,
,,,,Cooktop,Induction,19,,,,,,,,
,,,,,Electric,4,,,,,,,,
,,,,Cooktop Total,,23,,,,,,,,
,,,,Oven - (Freestanding),Electric,10,,,,,,,,
,,,,,Other,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,13,,,,,,,,
,,,,Washing Machine,Top Loader,3,,,,,,,,
,,,,Washing Machine Total,,3,,,,,,,,
,,,ARC - (Domestic) Total,,,117,,,,,,,,
,,,Gaggenau - (Premium Domestic),Refrigerator,Fridge & Freezer,35,,,,,,,,
,,,,Refrigerator Total,,35,,,,,,,,
,,,,Dishwasher,Semi Integrated,14,,,,,,,,
,,,,,Fully Integrated,8,,,,,,,,
,,,,,Under Bench,4,,,,,,,,
,,,,Dishwasher Total,,26,,,,,,,,
,,,,Cooktop,(blank),9,,,,,,,,
,,,,,Natural Gas,6,,,,,,,,
,,,,,Induction,3,,,,,,,,
,,,,Cooktop Total,,18,,,,,,,,
,,,,Oven - (Built In),Electric,18,,,,,,,,
,,,,Oven - (Built In) Total,,18,,,,,,,,
,,,,Dryer,Commercial,7,,,,,,,,
,,,,Dryer Total,,7,,,,,,,,
,,,,Oven - (Freestanding),Built In,6,,,,,,,,
,,,,Oven - (Freestanding) Total,,6,,,,,,,,
,,,,Rangehood,(blank),4,,,,,,,,
,,,,Rangehood Total,,4,,,,,,,,
,,,Gaggenau - (Premium Domestic) Total,,,114,,,,,,,,
,,,Rational - (Commercial),Oven - (Built In),Gas,36,,,,,,,,
,,,,,Double,26,,,,,,,,
,,,,Oven - (Built In) Total,,62,,,,,,,,
,,,,Oven - (Freestanding),Combination Microwave & Oven,18,,,,,,,,
,,,,,Electric,11,,,,,,,,
,,,,,(blank),6,,,,,,,,
,,,,,Natural Gas,6,,,,,,,,
,,,,Oven - (Freestanding) Total,,41,,,,,,,,
,,,,Commercial Appliance,Combi-Oven,9,,,,,,,,
,,,,Commercial Appliance Total,,9,,,,,,,,
,,,Rational - (Commercial) Total,,,112,,,,,,,,
,,,Ipso - (Commercial) - (Limited Parts),Dryer,(blank),52,,,,,,,,
,,,,,Electric,18,,,,,,,,
,,,,Dryer Total,,70,,,,,,,,
,,,,Washing Machine,(blank),24,,,,,,,,
,,,,,Front Loader,16,,,,,,,,
,,,,Washing Machine Total,,40,,,,,,,,
,,,Ipso - (Commercial) - (Limited Parts) Total,,,110,,,,,,,,
,,,Frymaster - (Commercial),Commercial Appliance,Deep Fryer,76,,,,,,,,
,,,,,Fryers,10,,,,,,,,
,,,,Commercial Appliance Total,,86,,,,,,,,
,,,,Other,(blank),23,,,,,,,,
,,,,Other Total,,23,,,,,,,,
,,,Frymaster - (Commercial) Total,,,109,,,,,,,,
,,,Waldorf - (Commercial),Oven - (Freestanding),(blank),57,,,,,,,,
,,,,,Natural Gas,23,,,,,,,,
,,,,,Free Standing,12,,,,,,,,
