Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
Eurowash - (Commercial),88,,,,Side By Side,12,,,Oven - (Freestanding),Smeg - (Domestic),108,,,
Garland - (Commercial),84,,,,(blank),12,,,,Westinghouse - (Domestic),51,,,
Econo - (Premium Domestic),84,,,,Fridge Only,9,,,,Omega - (Domestic),46,,,
FED - (Commercial),83,,,,Other,3,,,,Fisher and Paykel - (Domestic),37,,,
Thor - (Commercial),79,,,Refrigerator Total,,488,,,,Blanco - (Domestic),33,,,
Steel - (Premium Domestic),76,,,Oven - (Built In),Electric,354,,,,Bosch - (Domestic),25,,,
Everdure - (Commercial) - (Limited Parts),75,,,,Compact,21,,,,Technika - (Domestic),23,,,
Artisan - (Commercial) - (Limited Parts),74,,,,Double,18,,,,DeLonghi - (Domestic),23,,,
Cookrite - (Commercial) - (Limited Parts),73,,,,Pyrolytic,15,,,,Whirlpool - (Domestic),22,,,
Scootsman - (Commercial),71,,,,(blank),4,,,,Chef - (Domestic),21,,,
Viking - (Commercial) - (Limited Parts),70,,,Oven - (Built In) Total,,412,,,,Euromaid - (Domestic),20,,,
Anvil - (Commercial),68,,,Combo Washer & Dryer,(blank),190,,,,Ilve - (Premium Domestic),20,,,
Anets - (Commercial) - (Limited Parts),67,,,,Electric,78,,,,St George - (Premium Domestic) - (Limited Parts),16,,,
Sharpline - (Commercial),67,,,,Other,6,,,,Neff - (Premium Domestic),11,,,
Inalto - (Domestic) - (Limited Parts),66,,,Combo Washer & Dryer Total,,274,,,,Siemens - (Domestic),11,,,
Di Lusso - (Domestic),66,,,Microwave,Built In,34,,,,Kleenmaid - (Premium Domestic),10,,,
Adler - (Commercial) - (Limited Parts),62,,,,Combination,28,,,,Multiple Appliances,10,,,
Luus (Commercial),60,,,,Bench Top,14,,,,Turbofan - (Commercial),8,,,
Nardi -(Domestic) - (Limited Parts),60,,,,(blank),9,,,,Emilia - (Domestic),8,,,
Convotherm - (Commercial),58,,,Microwave Total,,85,,,,Baumatic - (Domestic),6,,,
Andi - (Domestic) - (Limited Parts),57,,,Rangehood,Slide out,30,,,,Electrolux - (Domestic),6,,,
Cool Room - (Commercial) - (Limited Parts),55,,,,(blank),20,,,,Bellini - (Domestic),6,,,
Hitachi - (Premium Domestic) - (Limited Parts),54,,,,Canopy,18,,,,Rational - (Commercial),6,,,
Miele Professional - (Commercial),51,,,,Under Mount,16,,,,Miele - (Premium Domestic),6,,,
Franke - (Premium Domestic) - (Limited Parts),51,,,Rangehood Total,,84,,,,AEG - (Domestic),6,,,
Allenzi - (Premium Domestic) - (Limited Parts),51,,,Coffee Machine,(blank),38,,,,Glem - (Domestic),6,,,
AG - (Commercial),51,,,,Domestic,21,,,,Franke - (Premium Domestic) - (Limited Parts),5,,,
Bertazzoni - (Premium Domestic),49,,,,Built In,18,,,,Ikea - (Domestic) - (Limited Parts),5,,,
Wolf - (Commercial),49,,,Coffee Machine Total,,77,,,,Asko - (Premium Domestic),5,,,
Akai - (Domestic) - (Limited Parts),49,,Bosch - (Domestic) Total,,,15250,,,,Euro - (Domestic),5,,,
Zanussi Professional - (Commercial) - (Limited Parts),47,,LG - (Domestic),Washing Machine,Front Loader,2975,,,,Goldstein - (Commercial),4,,,
Birko - (Commercial),46,,,,Top Loader,1317,,,,Lofra - (Domestic),3,,,
Elba - (Domestic) - (Limited Parts),45,,,,(blank),139,,,,Bompani - (Premium Domestic) - (Limited Parts),3,,,
